date,localName,name,countryCode,types
2025-01-01,Neujahr,New Year's Day,AT,Public
2025-01-06,Heilige Drei Könige,Epiphany,AT,Public
2025-04-20,Ostersonntag,Easter Sunday,AT,Public
2025-04-21,Ostermontag,Easter Monday,AT,Public
2025-05-01,Staatsfeiertag,National Holiday,AT,Public
2025-05-29,Christi Himmelfahrt,Ascension Day,AT,Public
2025-06-08,Pfingstsonntag,Pentecost,AT,Public
2025-06-09,Pfingstmontag,Whit Monday,AT,Public
2025-06-19,Fronleichnam,Corpus Christi,AT,Public
2025-08-15,Maria Himmelfahrt,Assumption Day,AT,Public
2025-10-26,Nationalfeiertag,National Holiday,AT,Public
2025-11-01,Allerheiligen,All Saints' Day,AT,Public
2025-12-08,Mariä Empfängnis,Immaculate Conception,AT,Public
2025-12-25,Weihnachten,Christmas Day,AT,Public
2025-12-26,Stefanitag,St. Stephen's Day,AT,Public
