date,localName,name,countryCode,types
2026-01-01,New Year's Day,New Year's Day,US,Public
2026-01-19,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",US,Public
2026-02-12,Lincoln's Birthday,Lincoln's Birthday,US,Observance
2026-02-16,Washington's Birthday,Presidents Day,US,Public
2026-04-03,Good Friday,Good Friday,US,Public
2026-04-03,Good Friday,Good Friday,US,Optional
2026-05-08,Truman Day,Truman Day,US,"School,Authorities"
2026-05-25,Memorial Day,Memorial Day,US,Public
2026-06-19,Juneteenth National Independence Day,Juneteenth National Independence Day,US,Public
2026-07-03,Independence Day,Independence Day,US,Public
2026-09-07,Labour Day,Labor Day,US,Public
2026-10-12,Columbus Day,Columbus Day,US,Public
2026-10-12,Indigenous Peoples' Day,Indigenous Peoples' Day,US,Public
2026-11-11,Veterans Day,Veterans Day,US,Public
2026-11-26,Thanksgiving Day,Thanksgiving Day,US,Public
2026-12-25,Christmas Day,Christmas Day,US,Public
